City,Country,Month,AvgTemp,Suitable,Budget
Cairo,Egypt,1,19.166666666666668,1,Low
Doha,Qatar,8,36.05555555555556,0,High
Seoul,South Korea,1,4.111111111111111,0,Low
Las Vegas,US,12,8.777777777777777,0,Low
Paris,France,12,1.8888888888888882,0,Low
Tokyo,Japan,12,5.055555555555556,0,Low
Dubai,United Arab Emirates,2,19.777777777777775,1,High
Cairo,Egypt,5,30.27777777777778,0,Medium
Abu Dhabi,United Arab Emirates,6,34.0,0,High
Honolulu,US,9,25.500000000000004,1,Medium
Barcelona,Spain,7,23.944444444444443,1,High
London,United Kingdom,3,11.166666666666666,0,Medium
Honolulu,US,7,27.61111111111111,1,High
Las Vegas,US,4,23.055555555555557,1,Medium
Cairo,Egypt,1,15.88888888888889,1,Low
Tokyo,Japan,3,8.499999999999998,0,Medium
Tokyo,Japan,6,25.72222222222222,1,High
Cairo,Egypt,9,24.499999999999996,1,Medium
Abu Dhabi,United Arab Emirates,8,36.388888888888886,0,High
Paris,France,6,14.833333333333334,0,High
Abu Dhabi,United Arab Emirates,1,17.22222222222222,1,Low
Cairo,Egypt,7,28.5,1,High
London,United Kingdom,7,16.0,1,High
Rome,Italy,8,24.61111111111111,1,High
Tokyo,Japan,1,9.055555555555554,0,Low
Honolulu,US,3,24.88888888888889,1,Medium
Sapporo,Japan,11,6.166666666666668,0,Low
Honolulu,US,9,26.5,1,Medium
Paris,France,2,2.2777777777777786,0,Low
Tokyo,Japan,3,4.2777777777777795,0,Medium
Dubai,United Arab Emirates,11,23.833333333333336,1,High
Tokyo,Japan,11,9.555555555555557,0,Low
Barcelona,Spain,8,24.166666666666668,1,High
Barcelona,Spain,6,21.611111111111114,1,High
Dubai,United Arab Emirates,9,33.72222222222222,0,Low
Las Vegas,US,7,39.05555555555556,0,High
Paris,France,11,8.666666666666666,0,Low
Seoul,South Korea,8,24.388888888888893,1,High
Barcelona,Spain,10,19.944444444444446,1,Medium
Las Vegas,US,6,33.22222222222222,0,High
Cairo,Egypt,6,30.833333333333332,0,High
Dubai,United Arab Emirates,3,24.444444444444443,1,Medium
Paris,France,1,5.333333333333334,0,Low
Tokyo,Japan,12,9.11111111111111,0,Low
Tokyo,Japan,3,14.11111111111111,0,Medium
Cairo,Egypt,5,20.222222222222225,1,Medium
Tokyo,Japan,6,18.666666666666664,1,High
London,United Kingdom,10,8.666666666666666,0,Medium
Dubai,United Arab Emirates,7,32.94444444444444,0,Low
Sapporo,Japan,4,4.222222222222223,0,Medium
Tokyo,Japan,12,10.88888888888889,0,Low
Doha,Qatar,11,25.555555555555557,1,Low
Sapporo,Japan,1,-9.222222222222221,0,Low
Dubai,United Arab Emirates,6,34.55555555555556,0,Low
Sapporo,Japan,1,-2.3888888888888893,0,Low
Barcelona,Spain,7,26.055555555555557,1,High
Sapporo,Japan,2,-7.833333333333333,0,Low
Seoul,South Korea,5,22.77777777777778,1,Medium
Paris,France,12,0.11111111111111269,0,Low
Las Vegas,US,5,28.22222222222222,1,Medium
Doha,Qatar,7,38.94444444444444,0,High
Seoul,South Korea,9,21.944444444444443,1,Medium
Honolulu,US,6,25.38888888888889,1,High
London,United Kingdom,8,15.722222222222221,1,High
Barcelona,Spain,4,9.5,0,Medium
Dubai,United Arab Emirates,9,33.77777777777778,0,Low
Seoul,South Korea,8,31.833333333333332,0,High
Doha,Qatar,5,32.166666666666664,0,Medium
Abu Dhabi,United Arab Emirates,2,17.055555555555557,1,Low
Sapporo,Japan,3,-3.7777777777777777,0,Medium
